row_id,word_7,word_6,word_5,word_4,word_3,word_2,word_1,book_1,book_2,book_3,book_4,book_5,book_6,book_7,book_8,cit,book_no,uri_other,word_start,word_end,extend,new_uri
875.876,يتشوق,بالرشيق,الملقب,الكاتب,القاسم,بن,ابراهيم,0626YaqutHamawi.MucjamUdaba,0845Maqrizi.MusawwadatMawaciz,,,,,,,,,,,,,
531,صلي,الله,رسول,انتهي,فلما,اسحاق,ابن,0207Waqidi.Maghazi,,,,,,,,,,,,,,
1234.1235,هو,الذي,الحميم,جمع,والحمام,الاعرابي,ابن,0458IbnSidaMursi.MuhkamWaMuhit,0711IbnManzurIfriqi.LisanCarab,,,,,,,,,,,,,
1456.1457,شهر,اول,ركوب,انقضي,اذا,الطوير,ابن,0617IbnTuwayr.NuzhatMuqlatayn,,,,,,,,,,,,,,
1084.1085,الاخر,العشر,اخر,قرب,اذا,الطوير,ابن,0588IbnMamun.AkhbarMisr,0845Maqrizi.MusawwadatMawaciz,,,,,,,,,,,,,
900,من,الاوسط,العشر,كان,اذا,الطوير,ابن,0617IbnTuwayr.NuzhatMuqlatayn,0845Maqrizi.MusawwadatMawaciz,,,,,,,,,,,,,
1012.1013,من,العاشر,اليوم,كان,اذا,الطوير,ابن,0617IbnTuwayr.NuzhatMuqlatayn,0845Maqrizi.MusawwadatMawaciz,,,,,,,,,,,,,
1117,بالطراز,وينعت,الطراز,في,الخدمه,الطوير,ابن,0617IbnTuwayr.NuzhatMuqlatayn,,,,,,,,,,,,,,
957.958,لها,الكسوات,خزان,في,الخدمه,الطوير,ابن,0617IbnTuwayr.NuzhatMuqlatayn,0845Maqrizi.MusawwadatMawaciz,,,,,,,,,,,,,
933.934,اجلها,فان,الاموال,دواوين,اما,الطوير,ابن,0617IbnTuwayr.NuzhatMuqlatayn,,,,,,,,,,,,,,
1039,استجد,البطاحي,بن,المامون,ان,الطوير,ابن,0617IbnTuwayr.NuzhatMuqlatayn,,,,,,,,,,,,,,
