parent_cl_book,level_1_book,level_2_book,level_3_book,ms,row_id
['0930IbnIyas.NuzhatUmam'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,1,0
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,2,1
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.DurarCuqud'],No Cluster,No Cluster,3,2
['0845Maqrizi.MusawwadatMawaciz'],['0356AbuCaliQali.AmaliFiLugha'],No Cluster,No Cluster,3,3
['0845Maqrizi.MusawwadatMawaciz'],"['0845Maqrizi.MusawwadatMawaciz', '0845Maqrizi.KhabarCanBashar']",No Cluster,No Cluster,5,4
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,5,5
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,5,6
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,6,7
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,6,8
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,6,9
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,6,10
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,7,11
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,7,12
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,7,13
['0845Maqrizi.MusawwadatMawaciz'],['0845Maqrizi.MusawwadatMawaciz'],No Cluster,No Cluster,7,14
['0733Nuwayri.NihayatArab'],['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster,8,15
['0375IkhwanSafa.Rasail'],No Cluster,No Cluster,No Cluster,10,16
['0375IkhwanSafa.Rasail'],No Cluster,No Cluster,No Cluster,11,17
['0276IbnQutaybaDinawari.AdabKatib'],['0276IbnQutaybaDinawari.AdabKatib'],No Cluster,No Cluster,12,18
"['0375IkhwanSafa.Rasail', '0375IkhwanSafa.RisalatJamica']",['0375IkhwanSafa.RisalatJamica'],No Cluster,No Cluster,14,19
['0845Maqrizi.KhabarCanBashar'],['0375IkhwanSafa.Rasail'],No Cluster,No Cluster,16,23
['0845Maqrizi.KhabarCanBashar'],['0375AnonymousTranslator.TarikhCalamUrusiyus'],No Cluster,No Cluster,20,30
['0845Maqrizi.KhabarCanBashar'],['0375AnonymousTranslator.TarikhCalamUrusiyus'],No Cluster,No Cluster,20,31
['0845Maqrizi.KhabarCanBashar'],['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster,20,32
['0845Maqrizi.KhabarCanBashar'],['0375IkhwanSafa.Rasail'],No Cluster,No Cluster,20,33
['0930IbnIyas.NuzhatUmam'],['0375IkhwanSafa.Rasail'],No Cluster,No Cluster,21,34
['0375IkhwanSafa.Rasail'],['0292Yacqubi.Tarikh'],No Cluster,No Cluster,21,35
['0845Maqrizi.KhabarCanBashar'],['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster,22,36
['0845Maqrizi.KhabarCanBashar'],['0300IbnRusta.AclaqNafisa'],No Cluster,No Cluster,23,37
['0845Maqrizi.KhabarCanBashar'],['0300IbnRusta.AclaqNafisa'],No Cluster,No Cluster,23,38
['0845Maqrizi.KhabarCanBashar'],['0218HajjajIbnYusufIbnMatar.Majisti'],No Cluster,No Cluster,24,39
['0845Maqrizi.KhabarCanBashar'],['0300IbnRusta.AclaqNafisa'],No Cluster,No Cluster,25,40
['0360HamzaIsfahani.TarikhSini'],No Cluster,No Cluster,No Cluster,27,41
['0375AnonymousTranslator.TarikhCalamUrusiyus'],No Cluster,No Cluster,No Cluster,28,42
['0845Maqrizi.KhabarCanBashar'],['0845Maqrizi.KhabarCanBashar'],No Cluster,No Cluster,31,43
['0930IbnIyas.NuzhatUmam'],['0845Maqrizi.KhabarCanBashar'],['0733Nuwayri.NihayatArab'],No Cluster,34,44
['0930IbnIyas.NuzhatUmam'],['0733Nuwayri.NihayatArab'],No Cluster,No Cluster,34,45
['0930IbnIyas.NuzhatUmam'],['0449AbuCalaMacarri.RisalatSahilWaShajih'],['0845Maqrizi.KhabarCanBashar'],No Cluster,36,48
