,text_uri,ms,result
0,0179MalikIbnAnas.Muwatta,131,0241IbnHanbal
1,0179MalikIbnAnas.Muwatta,136,0241IbnHanbal
2,0179MalikIbnAnas.Muwatta,146,0241IbnHanbal
3,0179MalikIbnAnas.Muwatta,668,0209AbuCubayda
4,0179MalikIbnAnas.Muwatta,778,0209AbuCubayda
0,0181IbnMubarak.Zuhd,048,0209AbuCubayda
1,0181IbnMubarak.Zuhd,130,0209AbuCubayda
2,0181IbnMubarak.Zuhd,131,0209AbuCubayda
3,0181IbnMubarak.Zuhd,186,0209AbuCubayda
4,0181IbnMubarak.Zuhd,357,0209AbuCubayda
0,0182AbuYusufYacqub.Kharaj,027,0151IbnIshaq.Sira
1,0182AbuYusufYacqub.Kharaj,077,0150AbuHanifa
0,0204Shafici.TafsirShafici,168,0198SufyanIbnCuyayna
1,0204Shafici.TafsirShafici,415,0151IbnIshaq.Sira
2,0204Shafici.TafsirShafici,475,0241IbnHanbal
3,0204Shafici.TafsirShafici,512,0150AbuHanifa
4,0204Shafici.TafsirShafici,632,0150AbuHanifa
5,0204Shafici.TafsirShafici,663,0150AbuHanifa
6,0204Shafici.TafsirShafici,664,0150AbuHanifa
0,0204Shafici.Umm,2941,0150AbuHanifa
1,0204Shafici.Umm,3006,0150AbuHanifa
2,0204Shafici.Umm,3011,0150AbuHanifa
3,0204Shafici.Umm,3012,0150AbuHanifa
4,0204Shafici.Umm,3013,0150AbuHanifa
5,0204Shafici.Umm,3016,0150AbuHanifa
6,0204Shafici.Umm,3017,0150AbuHanifa
7,0204Shafici.Umm,3283,0150AbuHanifa
8,0204Shafici.Umm,3301,0150AbuHanifa
9,0204Shafici.Umm,3335,0150AbuHanifa
10,0204Shafici.Umm,3339,0150AbuHanifa
11,0204Shafici.Umm,3352,0150AbuHanifa
12,0204Shafici.Umm,3361,0150AbuHanifa
13,0204Shafici.Umm,3362,0150AbuHanifa
14,0204Shafici.Umm,3370,0150AbuHanifa
15,0204Shafici.Umm,3375,0150AbuHanifa
16,0204Shafici.Umm,3376,0150AbuHanifa
17,0204Shafici.Umm,3483,0198SufyanIbnCuyayna
18,0204Shafici.Umm,3674,0150AbuHanifa
19,0204Shafici.Umm,3682,0150AbuHanifa
20,0204Shafici.Umm,3684,0150AbuHanifa
21,0204Shafici.Umm,3685,0150AbuHanifa
22,0204Shafici.Umm,3692,0150AbuHanifa
23,0204Shafici.Umm,3724,0150AbuHanifa
24,0204Shafici.Umm,3725,0151IbnIshaq.Sira
25,0204Shafici.Umm,3728,0150AbuHanifa
26,0204Shafici.Umm,3739,0150AbuHanifa
27,0204Shafici.Umm,3741,0150AbuHanifa
28,0204Shafici.Umm,3746,0150AbuHanifa
29,0204Shafici.Umm,3747,0150AbuHanifa
30,0204Shafici.Umm,3749,0150AbuHanifa
31,0204Shafici.Umm,3751,0150AbuHanifa
32,0204Shafici.Umm,3752,0150AbuHanifa
33,0204Shafici.Umm,3753,0150AbuHanifa
34,0204Shafici.Umm,3757,0150AbuHanifa
35,0204Shafici.Umm,3759,0150AbuHanifa
36,0204Shafici.Umm,3761,0150AbuHanifa
37,0204Shafici.Umm,3763,0150AbuHanifa
38,0204Shafici.Umm,3766,0150AbuHanifa
39,0204Shafici.Umm,3768,0150AbuHanifa
40,0204Shafici.Umm,3770,0150AbuHanifa
41,0204Shafici.Umm,3771,0150AbuHanifa
42,0204Shafici.Umm,3773,0150AbuHanifa
43,0204Shafici.Umm,3775,0150AbuHanifa
44,0204Shafici.Umm,3776,0150AbuHanifa
45,0204Shafici.Umm,3777,0150AbuHanifa
46,0204Shafici.Umm,3778,0150AbuHanifa
47,0204Shafici.Umm,3780,0150AbuHanifa
48,0204Shafici.Umm,3783,0150AbuHanifa
49,0204Shafici.Umm,3789,0150AbuHanifa
50,0204Shafici.Umm,3792,0150AbuHanifa
0,0207Waqidi.FutuhSham,022,0209AbuCubayda
1,0207Waqidi.FutuhSham,044,0209AbuCubayda
2,0207Waqidi.FutuhSham,045,0209AbuCubayda
3,0207Waqidi.FutuhSham,047,0209AbuCubayda
4,0207Waqidi.FutuhSham,048,0209AbuCubayda
5,0207Waqidi.FutuhSham,057,0209AbuCubayda
6,0207Waqidi.FutuhSham,059,0209AbuCubayda
7,0207Waqidi.FutuhSham,076,0209AbuCubayda
8,0207Waqidi.FutuhSham,084,0209AbuCubayda
9,0207Waqidi.FutuhSham,097,0209AbuCubayda
10,0207Waqidi.FutuhSham,098,0209AbuCubayda
11,0207Waqidi.FutuhSham,099,0209AbuCubayda
12,0207Waqidi.FutuhSham,100,0209AbuCubayda
13,0207Waqidi.FutuhSham,101,0209AbuCubayda
14,0207Waqidi.FutuhSham,122,0209AbuCubayda
15,0207Waqidi.FutuhSham,123,0209AbuCubayda
16,0207Waqidi.FutuhSham,130,0209AbuCubayda
17,0207Waqidi.FutuhSham,135,0209AbuCubayda
18,0207Waqidi.FutuhSham,136,0209AbuCubayda
19,0207Waqidi.FutuhSham,140,0209AbuCubayda
20,0207Waqidi.FutuhSham,145,0209AbuCubayda
21,0207Waqidi.FutuhSham,147,0209AbuCubayda
22,0207Waqidi.FutuhSham,151,0209AbuCubayda
23,0207Waqidi.FutuhSham,160,0209AbuCubayda
24,0207Waqidi.FutuhSham,162,0209AbuCubayda
25,0207Waqidi.FutuhSham,164,0209AbuCubayda
26,0207Waqidi.FutuhSham,166,0209AbuCubayda
27,0207Waqidi.FutuhSham,168,0209AbuCubayda
28,0207Waqidi.FutuhSham,171,0209AbuCubayda
29,0207Waqidi.FutuhSham,178,0209AbuCubayda
30,0207Waqidi.FutuhSham,180,0209AbuCubayda
31,0207Waqidi.FutuhSham,187,0209AbuCubayda
32,0207Waqidi.FutuhSham,188,0209AbuCubayda
33,0207Waqidi.FutuhSham,189,0209AbuCubayda
34,0207Waqidi.FutuhSham,195,0209AbuCubayda
35,0207Waqidi.FutuhSham,201,0209AbuCubayda
36,0207Waqidi.FutuhSham,204,0209AbuCubayda
37,0207Waqidi.FutuhSham,208,0209AbuCubayda
38,0207Waqidi.FutuhSham,210,0209AbuCubayda
39,0207Waqidi.FutuhSham,211,0209AbuCubayda
40,0207Waqidi.FutuhSham,214,0209AbuCubayda
41,0207Waqidi.FutuhSham,215,0209AbuCubayda
42,0207Waqidi.FutuhSham,221,0209AbuCubayda
43,0207Waqidi.FutuhSham,228,0209AbuCubayda
