ms,word_1
4,الخطط
13,ايضا
13,ايضا
13,اخر
13,اخر
33,كنيسه
33,كناس
33,البحر
42,لمصر
44,هي
44,الجاحظ
44,وجمع
44,اتيت
44,فتطيرت
44,الجوهري
47,الاخفش
47,غير
47,هي
47,الاعمش
47,اشهب
47,خرج
47,يا
47,يعقوب
47,يا
47,الطبري
47,نحو
47,مصر
47,اليس
54,ما
54,كنت
57,يا
57,خبر
57,خليج
57,ذلك
82,الحسن
82,الجهاني
82,الجهاني
82,عن
95,ابقراط
95,وجبل
96,والنيل
98,واما
102,ابقراط
104,ابقراط
104,اما
107,ولكون
109,استيلا
109,كناس
110,ويحك
110,استامر
125,والسبب
138,مناظر
138,موعدكم
138,وفي
139,الجسر
139,ما
139,الريس
139,فافضل
142,ومانا
142,النبي
155,اصحاب
155,عيد
163,ما
163,ارسطاطاليس
166,كور
167,ما
170,مقدار
170,الشريف
171,ما
171,الحسن
171,وجدت
172,ما
172,زهير
172,قال
181,نزول
187,جني
187,المارداني
188,وانتهي
192,يا
192,ووصلته
199,الروك
204,وانثي
207,وجدت
207,اسباب
208,الديوان
208,اقضي
208,ديوانه
208,حدثني
208,قال
208,ولم
211,الضحاك
218,عطا
218,عن
218,القوم
218,علي
218,القطاع
221,وكيع
221,الاعمش
221,اقطع
221,سيف
221,اقطع
221,سيف
227,وحمل
227,حط
227,غدا
227,تسبيحا
227,يا
227,هذه
230,اصناف
231,اسباب
236,اقسام
238,اخبار
242,القمح
242,ليس
242,الاديب
248,والذي
248,ما
260,صاحبهم
260,علي
262,هرمس
265,الهمداني
278,سيف
278,اخر
278,الامام
278,خليلي
281,قتل
281,الجبال
281,الجبل
287,مروه
287,هذه
287,يحتاج
287,لقد
287,هنا
287,القدما
287,اي
287,ما
287,يطلق
287,انا
287,كم
287,ما
287,هاتوا
288,القاد
288,مثل
290,وحق
291,اخرون
329,مدينه
330,بطليموس
330,اخبار
330,وذكر
331,ولما
347,تاريخ
348,القبط
353,غيره
353,غيره
360,وتهدم
362,اهل
362,الثلاثه
362,الملعب
368,مقاتل
368,غير
368,حلق
368,نقل
368,الاقليشي
372,جلال
372,البحر
372,اخر
373,فتح
373,غيره
373,سيف
373,اسالك
373,ما
373,فخرج
387,ما
387,غلبت
387,ما
387,غلبت
387,ما
387,غلبت
387,فقرن
387,ما
387,خرجنا
391,شاهدت
391,سيرته
391,وحفر
395,بن
399,عند
399,خزان
403,مدينه
412,حدثني
412,سمعت
412,حدثنا
412,يا
415,كيف
421,بلد
421,عبيد
421,الخليفه
427,الاديار
427,مدينه
427,الفرا
429,المتنصر
429,ما
432,ارض
432,صعيد
439,مرخ
441,واما
441,وبعض
443,ربي
443,اذا
453,مدينه
454,واما
454,وفي
454,الكمال
455,ووقفت
460,حضرت
460,انت
460,ما
460,عثمان
461,عصيانهم
461,ابوه
464,صحرا
466,مدينه
466,البلينا
466,الكمال
466,للخطيب
466,الخطيب
466,وبعض
466,سمهود
466,ارجنوس
466,ابويط
466,ملوي
469,دروط
469,فيه
469,الشاعر
469,الشاعر
469,سكر
475,قريه
475,منيه
475,وسيم
482,اخر
482,وانثي
483,مدينه
486,مرج
486,وجعل
486,مدينه
503,اما
514,انا
516,الفاكهي
517,الطريق
520,مدينه
520,عين
525,ما
525,لندوسه
525,انت
525,الكلبي
527,مدينه
527,لجاريته
532,مدينه
532,الانسان
532,الواحات
537,الواحات
540,مدينه
543,خرجت
543,فاخبرني
543,مدينه
545,وذكر
545,اخرون
552,للملك
552,موضع
552,ما
552,فمن
552,فلم
552,زهاده
552,فكيف
552,ناوي
552,فهل
552,انما
552,فارنيه
555,ما
555,يوسف
555,جيوني
555,يوسف
557,الكاهن
557,الملك
557,الملك
557,الق
557,ايعلم
558,فلما
558,ليوسف
558,يوسف
558,حدثني
558,لم
558,لم
568,ومنه
570,اريد
573,البراهمه
577,اصحاب
578,اصحاب
578,اصحاب
586,سته
586,سمعت
586,قوله
586,فمعلوم
590,حدثني
590,التواريخ
591,المجوس
591,اليهود
591,النصاري
595,الاسكندريه
595,تاريخ
598,هذان
598,دقلطيانوس
601,يعرف
611,يا
611,تبركوا
611,قول
612,علي
612,مناوش
614,اخر
614,اخر
614,ما
624,كل
628,سنه
629,سنه
630,لما
641,سنه
650,القاهره
650,فسطاط
650,الجوهري
650,ومنه
651,ما
652,كناس
653,الحصن
653,الواقدي
654,غيره
654,الحصن
654,وليست
655,الحازمي
679,تالله
679,جميعا
682,العسكر
682,امرا
682,الكندي
686,اما
687,والله
687,نحن
687,يا
687,فعل
698,القطاع
698,هذه
698,القطاع
698,خط
723,يا
723,يحسبهم
727,تنتج
729,كاتبه
729,انظر
729,كسر
729,احضروه
729,النفقه
730,كسر
730,كاتبه
732,لله
733,ما
733,اللهم
735,فيه
742,قف
742,مررت
743,مررت
743,لما
743,فاذا
751,ما
751,باربعه
751,بعثني
751,اصرفه
751,الشريف
752,كان
752,عن
752,غير
752,ويقال
753,عن
753,بعث
754,الراوي
754,فخرجت
754,عددت
755,ودرب
755,كاتب
755,ما
755,انا
755,والله
755,الدقاق
755,فجته
755,ايش
755,اعفني
755,عن
756,مره
756,لابيه
756,قريب
756,وعرض
756,كذلك
756,الشريف
756,لاحد
757,استاذي
757,والله
757,استاذي
757,يكون
758,افليس
758,فاذهب
758,هات
758,انظر
758,الست
758,فدبره
759,قال
762,يخرج
762,سمعته
762,ايها
762,تهلك
762,لابنته
762,مقاتل
762,انزل
763,اني
763,فقلت
763,خراب
767,طرف
767,خزان
768,المستنصر
768,الشريف
773,ما
774,روفس
775,فمن
776,عن
776,عن
782,الاخطاط
782,ساحل
782,ساحل
784,خبر
784,مناظر
784,وباب
785,ما
786,وانما
787,المنشاه
788,الجوامع
788,ربيعه
788,عند
788,البرك
790,كوم
790,الكيمان
791,الكيمان
791,الاخطاط
791,ابواب
791,القاهره
796,الخلفا
796,اطلب
796,اين
799,ما
799,الي
799,انما
803,ما
803,بارك
803,سور
803,تترك
803,يا
815,الجوامع
818,ما
823,بنا
830,ما
833,وسميت
838,زكي
841,مشاهد
843,العلامه
844,ما
844,المعارف
844,فعمر
844,الشارح
844,سل
845,يكون
845,هكذا
845,احذر
845,الشارح
845,قران
846,انها
846,مسالك
855,الجوهر
873,المرتضي
873,هيتهم
873,الركوب
876,ومبلغما
878,ومبلغ
879,كنا
879,الستم
879,الستم
908,ولما
908,لابن
908,وحق
908,انتهي
917,البته
918,قبل
922,عند
922,عنده
923,وكنت
944,اخرج
944,اخرجنا
965,بايعا
965,ايها
973,ابواب
973,غيره
976,النبي
978,ورايت
978,فيه
980,لهما
980,غير
980,المصلي
981,المنحر
986,دار
