,Unnamed: 0.1,Unnamed: 0,uri,ms,origin,origin_prev_ms
289,289,323.0,0257IbnCabdHakam.FutuhMisr,676,self,False
3283,2,,0257IbnCabdHakam.FutuhMisr,676,0911Suyuti.HusnMuhadara.89,False
3286,5,,0257IbnCabdHakam.FutuhMisr,676,0911Suyuti.HusnMuhadara.88,True
10,10,10.0,0151IbnIshaq.Sira,51,self,False
1059,0,,0151IbnIshaq.Sira,51,0213IbnHisham.SiraNabawiyya.3,False
1060,1,,0151IbnIshaq.Sira,51,0257IbnCabdHakam.FutuhMisr.2,False
1062,3,,0151IbnIshaq.Sira,51,0581AbuQasimSuhayli.RawdUnuf.21,False
1064,5,,0151IbnIshaq.Sira,51,0783IbnHadida.MisbahMudi.215,False
1065,6,,0151IbnIshaq.Sira,51,0845Maqrizi.KhabarCanBashar.2593,False
1066,7,,0151IbnIshaq.Sira,51,0213IbnHisham.SiraNabawiyya.2,True
1067,8,,0151IbnIshaq.Sira,51,0257IbnCabdHakam.FutuhMisr.2,True
1069,10,,0151IbnIshaq.Sira,51,0581AbuQasimSuhayli.RawdUnuf.20,True
1070,11,,0151IbnIshaq.Sira,51,0654SibtIbnJawzi.MiratZaman.268,True
12,12,12.0,0151IbnIshaq.Sira,424,self,False
1672,0,,0151IbnIshaq.Sira,424,0449IbnBattalQurtubi.SharhSahihBukhari.1739,False
1673,1,,0151IbnIshaq.Sira,424,0458Bayhaqi.DalailNubuwwa.1161,False
1674,2,,0151IbnIshaq.Sira,424,0571IbnCasakir.TarikhDimashq.379,False
1675,3,,0151IbnIshaq.Sira,424,0711IbnManzurIfriqi.MukhtasarTarikhDimashq.102,False
1676,4,,0151IbnIshaq.Sira,424,0733Nuwayri.NihayatArab.3670,False
1677,5,,0151IbnIshaq.Sira,424,0733Nuwayri.NihayatArab.3671,False
1678,6,,0151IbnIshaq.Sira,424,0748Dhahabi.SiyarAclamNubala.549,False
1679,7,,0151IbnIshaq.Sira,424,0748Dhahabi.TarikhIslam.365,False
1680,8,,0151IbnIshaq.Sira,424,0751IbnQayyimJawziyya.ZadMacad.894,False
1681,9,,0151IbnIshaq.Sira,424,0774IbnKathir.Bidaya.2078,False
1683,11,,0151IbnIshaq.Sira,424,0844IbnHusaynIbnRaslanRamli.SharhSunanAbiDawud.4226,False
1684,12,,0151IbnIshaq.Sira,424,0852IbnHajarCasqalani.IntiqadIctirad.335,False
1685,13,,0151IbnIshaq.Sira,424,0855BadrDinCayni.CumdatQari.5573,False
1686,14,,0151IbnIshaq.Sira,424,0900IbnCabdMuncimHimyari.RawdMictar.130,False
1689,17,,0151IbnIshaq.Sira,424,0213IbnHisham.SiraNabawiyya.815,True
1690,18,,0151IbnIshaq.Sira,424,0224QasimIbnSallam.Amwal.133,True
1691,19,,0151IbnIshaq.Sira,424,0251IbnZanjawayh.Amwal.174,True
1692,20,,0151IbnIshaq.Sira,424,0581AbuQasimSuhayli.RawdUnuf.1615,True
1693,21,,0151IbnIshaq.Sira,424,0733Nuwayri.NihayatArab.3670,True
1694,22,,0151IbnIshaq.Sira,424,0748Dhahabi.SiyarAclamNubala.548,True
1695,23,,0151IbnIshaq.Sira,424,0748Dhahabi.TarikhIslam.364,True
13,13,13.0,0151IbnIshaq.Sira,429,self,False
3507,0,,0151IbnIshaq.Sira,429,0487AbuCubaydBakri.MucjamMaIstacjama.566,False
3508,1,,0151IbnIshaq.Sira,429,0966HusaynDiyarbakri.TarikhKhamis.1058,False
269,269,303.0,0257IbnCabdHakam.FutuhMisr,656,self,False
3536,1,,0257IbnCabdHakam.FutuhMisr,656,0911Suyuti.HusnMuhadara.70,False
3537,2,,0257IbnCabdHakam.FutuhMisr,656,0930IbnIyas.BadaicZuhur.73,False
847,847,897.0,0180Sibawayhi,1292,self,False
3161,0,,0180Sibawayhi,1292,0458IbnSidaMursi.MuhkamWaMuhit.641,False
3166,5,,0180Sibawayhi,1292,0711IbnManzurIfriqi.LisanCarab.7418,False
3167,6,,0180Sibawayhi,1292,0762MughultayIbnQilij.SharhSunanIbnMaja.1087,False
3169,8,,0180Sibawayhi,1292,0458IbnSidaMursi.MuhkamWaMuhit.641,True
3172,11,,0180Sibawayhi,1292,0711IbnManzurIfriqi.LisanCarab.7418,True
3163,2,,0458IbnSidaMursi.MuhkamWaMuhit,1292,0711IbnManzurIfriqi.LisanCarab.7417,False
3164,3,,0458IbnSidaMursi.MuhkamWaMuhit,1292,0711IbnManzurIfriqi.LisanCarab.7418,False
3165,4,,0458IbnSidaMursi.MuhkamWaMuhit,1292,0711IbnManzurIfriqi.LisanCarab.7419,False
3168,7,,0458IbnSidaMursi.MuhkamWaMuhit,1292,0762MughultayIbnQilij.SharhSunanIbnMaja.1087,False
