,uri,ms,text_uri
0,0241IbnHanbal,131,0179MalikIbnAnas.Muwatta
1,0241IbnHanbal,136,0179MalikIbnAnas.Muwatta
2,0241IbnHanbal,146,0179MalikIbnAnas.Muwatta
3,0209AbuCubayda,668,0179MalikIbnAnas.Muwatta
4,0209AbuCubayda,778,0179MalikIbnAnas.Muwatta
0,0209AbuCubayda,48,0181IbnMubarak.Zuhd
1,0209AbuCubayda,130,0181IbnMubarak.Zuhd
2,0209AbuCubayda,131,0181IbnMubarak.Zuhd
3,0209AbuCubayda,186,0181IbnMubarak.Zuhd
4,0209AbuCubayda,357,0181IbnMubarak.Zuhd
0,0151IbnIshaq.Sira,27,0182AbuYusufYacqub.Kharaj
1,0150AbuHanifa,77,0182AbuYusufYacqub.Kharaj
0,0198SufyanIbnCuyayna,168,0204Shafici.TafsirShafici
1,0151IbnIshaq.Sira,415,0204Shafici.TafsirShafici
2,0241IbnHanbal,475,0204Shafici.TafsirShafici
3,0150AbuHanifa,512,0204Shafici.TafsirShafici
4,0150AbuHanifa,632,0204Shafici.TafsirShafici
5,0150AbuHanifa,663,0204Shafici.TafsirShafici
6,0150AbuHanifa,664,0204Shafici.TafsirShafici
0,0150AbuHanifa,2941,0204Shafici.Umm
1,0150AbuHanifa,3006,0204Shafici.Umm
2,0150AbuHanifa,3011,0204Shafici.Umm
3,0150AbuHanifa,3012,0204Shafici.Umm
4,0150AbuHanifa,3013,0204Shafici.Umm
5,0150AbuHanifa,3016,0204Shafici.Umm
6,0150AbuHanifa,3017,0204Shafici.Umm
7,0150AbuHanifa,3283,0204Shafici.Umm
8,0150AbuHanifa,3301,0204Shafici.Umm
9,0150AbuHanifa,3335,0204Shafici.Umm
10,0150AbuHanifa,3339,0204Shafici.Umm
11,0150AbuHanifa,3352,0204Shafici.Umm
12,0150AbuHanifa,3361,0204Shafici.Umm
13,0150AbuHanifa,3362,0204Shafici.Umm
14,0150AbuHanifa,3370,0204Shafici.Umm
15,0150AbuHanifa,3375,0204Shafici.Umm
16,0150AbuHanifa,3376,0204Shafici.Umm
17,0150AbuHanifa,3674,0204Shafici.Umm
18,0150AbuHanifa,3682,0204Shafici.Umm
19,0150AbuHanifa,3684,0204Shafici.Umm
20,0150AbuHanifa,3685,0204Shafici.Umm
21,0150AbuHanifa,3692,0204Shafici.Umm
22,0150AbuHanifa,3724,0204Shafici.Umm
23,0150AbuHanifa,3728,0204Shafici.Umm
24,0150AbuHanifa,3739,0204Shafici.Umm
25,0150AbuHanifa,3741,0204Shafici.Umm
26,0150AbuHanifa,3746,0204Shafici.Umm
27,0150AbuHanifa,3747,0204Shafici.Umm
28,0150AbuHanifa,3749,0204Shafici.Umm
29,0150AbuHanifa,3751,0204Shafici.Umm
30,0150AbuHanifa,3752,0204Shafici.Umm
31,0150AbuHanifa,3753,0204Shafici.Umm
32,0150AbuHanifa,3757,0204Shafici.Umm
33,0150AbuHanifa,3759,0204Shafici.Umm
34,0150AbuHanifa,3761,0204Shafici.Umm
35,0150AbuHanifa,3763,0204Shafici.Umm
36,0150AbuHanifa,3766,0204Shafici.Umm
37,0150AbuHanifa,3768,0204Shafici.Umm
38,0150AbuHanifa,3770,0204Shafici.Umm
39,0150AbuHanifa,3771,0204Shafici.Umm
40,0150AbuHanifa,3773,0204Shafici.Umm
41,0150AbuHanifa,3775,0204Shafici.Umm
42,0150AbuHanifa,3776,0204Shafici.Umm
43,0150AbuHanifa,3777,0204Shafici.Umm
44,0150AbuHanifa,3778,0204Shafici.Umm
45,0150AbuHanifa,3780,0204Shafici.Umm
46,0150AbuHanifa,3783,0204Shafici.Umm
47,0150AbuHanifa,3789,0204Shafici.Umm
48,0150AbuHanifa,3792,0204Shafici.Umm
49,0198SufyanIbnCuyayna,3483,0204Shafici.Umm
50,0151IbnIshaq.Sira,3725,0204Shafici.Umm
0,0209AbuCubayda,22,0207Waqidi.FutuhSham
1,0209AbuCubayda,44,0207Waqidi.FutuhSham
2,0209AbuCubayda,45,0207Waqidi.FutuhSham
3,0209AbuCubayda,47,0207Waqidi.FutuhSham
4,0209AbuCubayda,48,0207Waqidi.FutuhSham
5,0209AbuCubayda,57,0207Waqidi.FutuhSham
6,0209AbuCubayda,59,0207Waqidi.FutuhSham
7,0209AbuCubayda,76,0207Waqidi.FutuhSham
8,0209AbuCubayda,84,0207Waqidi.FutuhSham
9,0209AbuCubayda,97,0207Waqidi.FutuhSham
10,0209AbuCubayda,98,0207Waqidi.FutuhSham
11,0209AbuCubayda,99,0207Waqidi.FutuhSham
12,0209AbuCubayda,100,0207Waqidi.FutuhSham
13,0209AbuCubayda,101,0207Waqidi.FutuhSham
14,0209AbuCubayda,122,0207Waqidi.FutuhSham
15,0209AbuCubayda,123,0207Waqidi.FutuhSham
16,0209AbuCubayda,130,0207Waqidi.FutuhSham
17,0209AbuCubayda,135,0207Waqidi.FutuhSham
18,0209AbuCubayda,136,0207Waqidi.FutuhSham
19,0209AbuCubayda,140,0207Waqidi.FutuhSham
20,0209AbuCubayda,145,0207Waqidi.FutuhSham
21,0209AbuCubayda,147,0207Waqidi.FutuhSham
22,0209AbuCubayda,151,0207Waqidi.FutuhSham
23,0209AbuCubayda,160,0207Waqidi.FutuhSham
24,0209AbuCubayda,162,0207Waqidi.FutuhSham
25,0209AbuCubayda,164,0207Waqidi.FutuhSham
26,0209AbuCubayda,166,0207Waqidi.FutuhSham
27,0209AbuCubayda,168,0207Waqidi.FutuhSham
28,0209AbuCubayda,171,0207Waqidi.FutuhSham
29,0209AbuCubayda,178,0207Waqidi.FutuhSham
30,0209AbuCubayda,180,0207Waqidi.FutuhSham
31,0209AbuCubayda,187,0207Waqidi.FutuhSham
32,0209AbuCubayda,188,0207Waqidi.FutuhSham
33,0209AbuCubayda,189,0207Waqidi.FutuhSham
34,0209AbuCubayda,195,0207Waqidi.FutuhSham
35,0209AbuCubayda,201,0207Waqidi.FutuhSham
36,0209AbuCubayda,204,0207Waqidi.FutuhSham
37,0209AbuCubayda,208,0207Waqidi.FutuhSham
38,0209AbuCubayda,210,0207Waqidi.FutuhSham
39,0209AbuCubayda,211,0207Waqidi.FutuhSham
40,0209AbuCubayda,214,0207Waqidi.FutuhSham
41,0209AbuCubayda,215,0207Waqidi.FutuhSham
42,0209AbuCubayda,221,0207Waqidi.FutuhSham
43,0209AbuCubayda,228,0207Waqidi.FutuhSham
44,0209AbuCubayda,234,0207Waqidi.FutuhSham
45,0209AbuCubayda,241,0207Waqidi.FutuhSham
46,0209AbuCubayda,250,0207Waqidi.FutuhSham
47,0209AbuCubayda,252,0207Waqidi.FutuhSham
48,0209AbuCubayda,263,0207Waqidi.FutuhSham
49,0209AbuCubayda,264,0207Waqidi.FutuhSham
50,0209AbuCubayda,266,0207Waqidi.FutuhSham
51,0209AbuCubayda,267,0207Waqidi.FutuhSham
52,0209AbuCubayda,272,0207Waqidi.FutuhSham
53,0209AbuCubayda,277,0207Waqidi.FutuhSham
54,0209AbuCubayda,285,0207Waqidi.FutuhSham
55,0209AbuCubayda,286,0207Waqidi.FutuhSham
56,0209AbuCubayda,297,0207Waqidi.FutuhSham
57,0209AbuCubayda,298,0207Waqidi.FutuhSham
58,0209AbuCubayda,300,0207Waqidi.FutuhSham
59,0209AbuCubayda,302,0207Waqidi.FutuhSham
60,0209AbuCubayda,305,0207Waqidi.FutuhSham
61,0209AbuCubayda,306,0207Waqidi.FutuhSham
62,0209AbuCubayda,314,0207Waqidi.FutuhSham
63,0209AbuCubayda,315,0207Waqidi.FutuhSham
64,0209AbuCubayda,316,0207Waqidi.FutuhSham
65,0209AbuCubayda,317,0207Waqidi.FutuhSham
66,0209AbuCubayda,325,0207Waqidi.FutuhSham
67,0209AbuCubayda,338,0207Waqidi.FutuhSham
68,0209AbuCubayda,339,0207Waqidi.FutuhSham
69,0209AbuCubayda,340,0207Waqidi.FutuhSham
70,0209AbuCubayda,341,0207Waqidi.FutuhSham
71,0209AbuCubayda,343,0207Waqidi.FutuhSham
72,0209AbuCubayda,346,0207Waqidi.FutuhSham
73,0209AbuCubayda,347,0207Waqidi.FutuhSham
74,0209AbuCubayda,350,0207Waqidi.FutuhSham
75,0209AbuCubayda,352,0207Waqidi.FutuhSham
76,0209AbuCubayda,353,0207Waqidi.FutuhSham
77,0209AbuCubayda,354,0207Waqidi.FutuhSham
78,0209AbuCubayda,359,0207Waqidi.FutuhSham
79,0209AbuCubayda,360,0207Waqidi.FutuhSham
80,0209AbuCubayda,362,0207Waqidi.FutuhSham
81,0209AbuCubayda,363,0207Waqidi.FutuhSham
82,0209AbuCubayda,364,0207Waqidi.FutuhSham
83,0209AbuCubayda,365,0207Waqidi.FutuhSham
84,0209AbuCubayda,372,0207Waqidi.FutuhSham
85,0209AbuCubayda,373,0207Waqidi.FutuhSham
86,0209AbuCubayda,374,0207Waqidi.FutuhSham
87,0209AbuCubayda,375,0207Waqidi.FutuhSham
88,0209AbuCubayda,376,0207Waqidi.FutuhSham
89,0209AbuCubayda,427,0207Waqidi.FutuhSham
90,0209AbuCubayda,429,0207Waqidi.FutuhSham
91,0209AbuCubayda,432,0207Waqidi.FutuhSham
92,0209AbuCubayda,433,0207Waqidi.FutuhSham
93,0209AbuCubayda,506,0207Waqidi.FutuhSham
94,0209AbuCubayda,507,0207Waqidi.FutuhSham
0,0209AbuCubayda.Dibaj,1,0209AbuCubayda.Dibaj
4,0209AbuCubayda.Dibaj,2,0209AbuCubayda.Dibaj
6,0209AbuCubayda.Dibaj,3,0209AbuCubayda.Dibaj
8,0209AbuCubayda.SharhNaqaidJarir,4,0209AbuCubayda.Dibaj
10,0209AbuCubayda.Dibaj,4,0209AbuCubayda.Dibaj
12,0209AbuCubayda,5,0209AbuCubayda.Dibaj
13,0209AbuCubayda.Dibaj,6,0209AbuCubayda.Dibaj
19,0209AbuCubayda.Dibaj,7,0209AbuCubayda.Dibaj
22,0209AbuCubayda.Dibaj,8,0209AbuCubayda.Dibaj
26,0209AbuCubayda.Dibaj,9,0209AbuCubayda.Dibaj
34,0209AbuCubayda.Dibaj,10,0209AbuCubayda.Dibaj
37,0209AbuCubayda.Dibaj,11,0209AbuCubayda.Dibaj
42,0209AbuCubayda.MajazQuran,12,0209AbuCubayda.Dibaj
43,0209AbuCubayda.Dibaj,12,0209AbuCubayda.Dibaj
50,0209AbuCubayda.Dibaj,13,0209AbuCubayda.Dibaj
60,0209AbuCubayda.Dibaj,14,0209AbuCubayda.Dibaj
66,0209AbuCubayda.Dibaj,15,0209AbuCubayda.Dibaj
68,0209AbuCubayda.Dibaj,16,0209AbuCubayda.Dibaj
70,0209AbuCubayda.Dibaj,17,0209AbuCubayda.Dibaj
71,0209AbuCubayda.Dibaj,18,0209AbuCubayda.Dibaj
73,0209AbuCubayda.Dibaj,19,0209AbuCubayda.Dibaj
75,0209AbuCubayda.Dibaj,20,0209AbuCubayda.Dibaj
82,0209AbuCubayda.SharhNaqaidJarir,21,0209AbuCubayda.Dibaj
84,0209AbuCubayda.Dibaj,21,0209AbuCubayda.Dibaj
86,0209AbuCubayda.Dibaj,22,0209AbuCubayda.Dibaj
88,0209AbuCubayda.Dibaj,23,0209AbuCubayda.Dibaj
91,0209AbuCubayda.SharhNaqaidJarir,24,0209AbuCubayda.Dibaj
92,0209AbuCubayda.Dibaj,24,0209AbuCubayda.Dibaj
93,0209AbuCubayda.Dibaj,27,0209AbuCubayda.Dibaj
95,0209AbuCubayda.Dibaj,28,0209AbuCubayda.Dibaj
97,0209AbuCubayda.Dibaj,29,0209AbuCubayda.Dibaj
102,0209AbuCubayda.Dibaj,39,0209AbuCubayda.Dibaj
103,0209AbuCubayda,41,0209AbuCubayda.Dibaj
104,0209AbuCubayda,42,0209AbuCubayda.Dibaj
105,0209AbuCubayda.SharhNaqaidJarir,43,0209AbuCubayda.Dibaj
106,0209AbuCubayda.Dibaj,43,0209AbuCubayda.Dibaj
114,0209AbuCubayda,44,0209AbuCubayda.Dibaj
115,0209AbuCubayda.Dibaj,45,0209AbuCubayda.Dibaj
118,0209AbuCubayda.Dibaj,46,0209AbuCubayda.Dibaj
122,0209AbuCubayda.Dibaj,47,0209AbuCubayda.Dibaj
126,0209AbuCubayda.Dibaj,48,0209AbuCubayda.Dibaj
129,0209AbuCubayda.Dibaj,49,0209AbuCubayda.Dibaj
130,0487Bakri,21,0209AbuCubayda.Dibaj
0,0209AbuCubayda,133,0211CabdRazzaqSancani.Musannaf
1,0209AbuCubayda,346,0211CabdRazzaqSancani.Musannaf
0,0151IbnIshaq.Sira,60,0213IbnHisham.SiraNabawiyya
1,0151IbnIshaq.Sira,88,0213IbnHisham.SiraNabawiyya
2,0151IbnIshaq.Sira,89,0213IbnHisham.SiraNabawiyya
3,0151IbnIshaq.Sira,90,0213IbnHisham.SiraNabawiyya
4,0151IbnIshaq.Sira,91,0213IbnHisham.SiraNabawiyya
5,0151IbnIshaq.Sira,92,0213IbnHisham.SiraNabawiyya
6,0151IbnIshaq.Sira,93,0213IbnHisham.SiraNabawiyya
7,0151IbnIshaq.Sira,94,0213IbnHisham.SiraNabawiyya
8,0151IbnIshaq.Sira,95,0213IbnHisham.SiraNabawiyya
9,0151IbnIshaq.Sira,96,0213IbnHisham.SiraNabawiyya
10,0151IbnIshaq.Sira,244,0213IbnHisham.SiraNabawiyya
11,0151IbnIshaq.Sira,663,0213IbnHisham.SiraNabawiyya
12,0151IbnIshaq.Sira,687,0213IbnHisham.SiraNabawiyya
13,0209AbuCubayda,381,0213IbnHisham.SiraNabawiyya
14,0209AbuCubayda,544,0213IbnHisham.SiraNabawiyya
15,0209AbuCubayda,892,0213IbnHisham.SiraNabawiyya
16,0198SufyanIbnCuyayna,625,0213IbnHisham.SiraNabawiyya
0,0209AbuCubayda,56,0224QasimIbnSallam.Amwal
1,0209AbuCubayda,60,0224QasimIbnSallam.Amwal
2,0209AbuCubayda,70,0224QasimIbnSallam.Amwal
3,0209AbuCubayda,102,0224QasimIbnSallam.Amwal
4,0209AbuCubayda,364,0224QasimIbnSallam.Amwal
0,0151IbnIshaq.Sira,34,0230IbnSacd.TabaqatKubra
1,0151IbnIshaq.Sira,815,0230IbnSacd.TabaqatKubra
2,0151IbnIshaq.Sira,1066,0230IbnSacd.TabaqatKubra
3,0151IbnIshaq.Sira,1120,0230IbnSacd.TabaqatKubra
4,0151IbnIshaq.Sira,1123,0230IbnSacd.TabaqatKubra
5,0151IbnIshaq.Sira,1128,0230IbnSacd.TabaqatKubra
6,0151IbnIshaq.Sira,1129,0230IbnSacd.TabaqatKubra
7,0151IbnIshaq.Sira,1130,0230IbnSacd.TabaqatKubra
8,0151IbnIshaq.Sira,1131,0230IbnSacd.TabaqatKubra
9,0151IbnIshaq.Sira,1132,0230IbnSacd.TabaqatKubra
10,0151IbnIshaq.Sira,1133,0230IbnSacd.TabaqatKubra
11,0151IbnIshaq.Sira,1134,0230IbnSacd.TabaqatKubra
12,0151IbnIshaq.Sira,1141,0230IbnSacd.TabaqatKubra
13,0151IbnIshaq.Sira,1154,0230IbnSacd.TabaqatKubra
14,0151IbnIshaq.Sira,1173,0230IbnSacd.TabaqatKubra
15,0151IbnIshaq.Sira,1175,0230IbnSacd.TabaqatKubra
16,0151IbnIshaq.Sira,1189,0230IbnSacd.TabaqatKubra
17,0151IbnIshaq.Sira,1194,0230IbnSacd.TabaqatKubra
18,0151IbnIshaq.Sira,1200,0230IbnSacd.TabaqatKubra
19,0151IbnIshaq.Sira,1208,0230IbnSacd.TabaqatKubra
20,0151IbnIshaq.Sira,1212,0230IbnSacd.TabaqatKubra
21,0151IbnIshaq.Sira,1213,0230IbnSacd.TabaqatKubra
22,0151IbnIshaq.Sira,1280,0230IbnSacd.TabaqatKubra
23,0151IbnIshaq.Sira,1352,0230IbnSacd.TabaqatKubra
24,0151IbnIshaq.Sira,1359,0230IbnSacd.TabaqatKubra
25,0151IbnIshaq.Sira,1360,0230IbnSacd.TabaqatKubra
26,0151IbnIshaq.Sira,1369,0230IbnSacd.TabaqatKubra
27,0151IbnIshaq.Sira,1415,0230IbnSacd.TabaqatKubra
28,0151IbnIshaq.Sira,1420,0230IbnSacd.TabaqatKubra
29,0151IbnIshaq.Sira,1440,0230IbnSacd.TabaqatKubra
30,0151IbnIshaq.Sira,1472,0230IbnSacd.TabaqatKubra
31,0151IbnIshaq.Sira,1547,0230IbnSacd.TabaqatKubra
32,0151IbnIshaq.Sira,1573,0230IbnSacd.TabaqatKubra
33,0230IbnSacd.TabaqatKubra,70,0230IbnSacd.TabaqatKubra
34,0230IbnSacd.TabaqatKubra,149,0230IbnSacd.TabaqatKubra
35,0230IbnSacd.TabaqatKubra,236,0230IbnSacd.TabaqatKubra
36,0230IbnSacd.TabaqatKubra,255,0230IbnSacd.TabaqatKubra
37,0230IbnSacd.TabaqatKubra,308,0230IbnSacd.TabaqatKubra
38,0230IbnSacd.TabaqatKubra,412,0230IbnSacd.TabaqatKubra
39,0230IbnSacd.TabaqatKubra,426,0230IbnSacd.TabaqatKubra
40,0230IbnSacd.TabaqatKubra,432,0230IbnSacd.TabaqatKubra
41,0230IbnSacd.TabaqatKubra,497,0230IbnSacd.TabaqatKubra
42,0230IbnSacd.TabaqatKubra,733,0230IbnSacd.TabaqatKubra
43,0230IbnSacd.TabaqatKubra,752,0230IbnSacd.TabaqatKubra
44,0230IbnSacd.TabaqatKubra,762,0230IbnSacd.TabaqatKubra
45,0230IbnSacd.TabaqatKubra,799,0230IbnSacd.TabaqatKubra
46,0230IbnSacd.TabaqatKubra,857,0230IbnSacd.TabaqatKubra
47,0230IbnSacd.TabaqatKubra,873,0230IbnSacd.TabaqatKubra
48,0230IbnSacd.TabaqatKubra,903,0230IbnSacd.TabaqatKubra
49,0230IbnSacd.TabaqatKubra,920,0230IbnSacd.TabaqatKubra
50,0230IbnSacd.TabaqatKubra,921,0230IbnSacd.TabaqatKubra
51,0230IbnSacd.TabaqatKubra,958,0230IbnSacd.TabaqatKubra
52,0230IbnSacd.TabaqatKubra,1011,0230IbnSacd.TabaqatKubra
53,0230IbnSacd.TabaqatKubra,1048,0230IbnSacd.TabaqatKubra
54,0230IbnSacd.TabaqatKubra,1079,0230IbnSacd.TabaqatKubra
55,0230IbnSacd.TabaqatKubra,1083,0230IbnSacd.TabaqatKubra
56,0230IbnSacd.TabaqatKubra,1128,0230IbnSacd.TabaqatKubra
57,0230IbnSacd.TabaqatKubra,1145,0230IbnSacd.TabaqatKubra
58,0230IbnSacd.TabaqatKubra,1170,0230IbnSacd.TabaqatKubra
59,0230IbnSacd.TabaqatKubra,1191,0230IbnSacd.TabaqatKubra
60,0230IbnSacd.TabaqatKubra,1207,0230IbnSacd.TabaqatKubra
61,0230IbnSacd.TabaqatKubra,1250,0230IbnSacd.TabaqatKubra
62,0230IbnSacd.TabaqatKubra,1263,0230IbnSacd.TabaqatKubra
63,0230IbnSacd.TabaqatKubra,1304,0230IbnSacd.TabaqatKubra
64,0230IbnSacd.TabaqatKubra,1342,0230IbnSacd.TabaqatKubra
65,0230IbnSacd.TabaqatKubra,1350,0230IbnSacd.TabaqatKubra
66,0230IbnSacd.TabaqatKubra,1363,0230IbnSacd.TabaqatKubra
67,0230IbnSacd.TabaqatKubra,1445,0230IbnSacd.TabaqatKubra
68,0230IbnSacd.TabaqatKubra,1465,0230IbnSacd.TabaqatKubra
69,0230IbnSacd.TabaqatKubra,1480,0230IbnSacd.TabaqatKubra
70,0230IbnSacd.TabaqatKubra,1503,0230IbnSacd.TabaqatKubra
71,0230IbnSacd.TabaqatKubra,1522,0230IbnSacd.TabaqatKubra
72,0230IbnSacd.TabaqatKubra,1544,0230IbnSacd.TabaqatKubra
73,0230IbnSacd.TabaqatKubra,1578,0230IbnSacd.TabaqatKubra
74,0230IbnSacd.TabaqatKubra,1611,0230IbnSacd.TabaqatKubra
75,0230IbnSacd.TabaqatKubra,1667,0230IbnSacd.TabaqatKubra
76,0230IbnSacd.TabaqatKubra,1687,0230IbnSacd.TabaqatKubra
77,0230IbnSacd.TabaqatKubra,1693,0230IbnSacd.TabaqatKubra
78,0230IbnSacd.TabaqatKubra,1708,0230IbnSacd.TabaqatKubra
79,0230IbnSacd.TabaqatKubra,1713,0230IbnSacd.TabaqatKubra
80,0230IbnSacd.TabaqatKubra,1718,0230IbnSacd.TabaqatKubra
81,0230IbnSacd.TabaqatKubra,1728,0230IbnSacd.TabaqatKubra
82,0230IbnSacd.TabaqatKubra,1775,0230IbnSacd.TabaqatKubra
83,0230IbnSacd.TabaqatKubra,1803,0230IbnSacd.TabaqatKubra
84,0230IbnSacd.TabaqatKubra,1809,0230IbnSacd.TabaqatKubra
85,0230IbnSacd.TabaqatKubra,1830,0230IbnSacd.TabaqatKubra
86,0230IbnSacd.TabaqatKubra,1853,0230IbnSacd.TabaqatKubra
87,0230IbnSacd.TabaqatKubra,1870,0230IbnSacd.TabaqatKubra
88,0230IbnSacd.TabaqatKubra,1885,0230IbnSacd.TabaqatKubra
89,0230IbnSacd.TabaqatKubra,1887,0230IbnSacd.TabaqatKubra
90,0230IbnSacd.TabaqatKubra,1894,0230IbnSacd.TabaqatKubra
91,0230IbnSacd.TabaqatKubra,1903,0230IbnSacd.TabaqatKubra
92,0230IbnSacd.TabaqatKubra,1916,0230IbnSacd.TabaqatKubra
93,0230IbnSacd.TabaqatKubra,1917,0230IbnSacd.TabaqatKubra
94,0230IbnSacd.TabaqatKubra,1960,0230IbnSacd.TabaqatKubra
