,Unnamed: 0,uri,ms,origin,origin_prev_ms
0,0,0820IbnMutawwaj,753,self,False
1,1,0820IbnMutawwaj,785,self,False
2,2,0820IbnMutawwaj,1293,self,False
198,198,0692IbnCabdZahir.RawdaBahiyya,1293,self,False
3,3,0820IbnMutawwaj,1394,self,False
4,4,0820IbnMutawwaj,1688,self,False
680,0,0820IbnMutawwaj,1688,0911Suyuti.HusnMuhadara.577,False
5,5,0276IbnQutaybaDinawari.GharibHadith,46,self,False
6,6,0276IbnQutaybaDinawari.GharibHadith,676,self,False
125,125,0257IbnCabdHakam.FutuhMisr,676,self,False
1417,0,0257IbnCabdHakam.FutuhMisr,676,0911Suyuti.HusnMuhadara.89,False
1419,2,0257IbnCabdHakam.FutuhMisr,676,0911Suyuti.HusnMuhadara.90,True
7,7,0276IbnQutaybaDinawari.GharibHadith,677,self,False
563,0,0257IbnCabdHakam.FutuhMisr,677,0911Suyuti.HusnMuhadara.89,False
565,2,0257IbnCabdHakam.FutuhMisr,677,0911Suyuti.HusnMuhadara.90,True
8,8,0276IbnQutaybaDinawari,1907,self,False
9,9,0695SarrajDinWaraq,1970,self,False
1206,0,0695SarrajDinWaraq,1970,0911Suyuti.HusnMuhadara.588,False
10,10,0151IbnIshaq.Sira,51,self,False
445,2,0151IbnIshaq.Sira,51,0845Maqrizi.KhabarCanBashar.2593,False
11,11,0151IbnIshaq.Sira,656,self,False
105,105,0257IbnCabdHakam.FutuhMisr,656,self,False
1494,1,0257IbnCabdHakam.FutuhMisr,656,0911Suyuti.HusnMuhadara.70,False
1495,2,0257IbnCabdHakam.FutuhMisr,656,0930IbnIyas.BadaicZuhur.73,False
1497,4,0257IbnCabdHakam.FutuhMisr,656,0911Suyuti.HusnMuhadara.71,True
12,12,0151IbnIshaq.Sira,1292,self,False
13,13,0529AbuSalt,270,self,False
23,23,0440AbuRayhanBiruni,270,self,False
1468,0,0820IbnMutawwaj,270,0911Suyuti.HusnMuhadara.51,False
1469,1,0820IbnMutawwaj,270,0911Suyuti.TuhfatKiram.6,False
14,14,0588IbnMamun.AkhbarMisr,484,self,False
15,15,0588IbnMamun.AkhbarMisr,485,self,False
16,16,0629CabdLatifBaghdadi,1944,self,False
17,17,0487AbuCubaydBakri.MucjamMaIstacjama,420,self,False
18,18,0487AbuCubaydBakri.MucjamMaIstacjama,429,self,False
19,19,0487AbuCubaydBakri.MucjamMaIstacjama,430,self,False
20,20,0487AbuCubaydBakri.MucjamMaIstacjama,467,self,False
21,21,0487AbuCubaydBakri.MucjamMaIstacjama,525,self,False
143,143,0350Balawi.SiratAhmadIbnTulun,525,self,False
22,22,0487AbuCubaydBakri.MucjamMaIstacjama,654,self,False
104,104,0257IbnCabdHakam.FutuhMisr,654,self,False
476,0,0257IbnCabdHakam.FutuhMisr,654,0911Suyuti.HusnMuhadara.34,False
477,1,0257IbnCabdHakam.FutuhMisr,654,0911Suyuti.HusnMuhadara.35,True
24,24,0346Mascudi.MurujDhahab,59,self,False
25,25,0346Mascudi.MurujDhahab,60,self,False
26,26,Anonymous,241,self,False
1606,0,Anonymous,241,0930IbnIyas.NuzhatUmam.115,False
27,27,Anonymous,497,self,False
28,28,0257IbnCabdHakam.FutuhMisr,47,self,False
29,29,0257IbnCabdHakam.FutuhMisr,48,self,False
523,0,0257IbnCabdHakam.FutuhMisr,48,0930IbnIyas.NuzhatUmam.93,False
527,4,0257IbnCabdHakam.FutuhMisr,48,0930IbnIyas.NuzhatUmam.94,True
30,30,0257IbnCabdHakam.FutuhMisr,61,self,False
421,0,0257IbnCabdHakam.FutuhMisr,61,0911Suyuti.HusnMuhadara.64,False
422,1,0257IbnCabdHakam.FutuhMisr,61,0783IbnHadida.MisbahMudi.200,True
423,2,0257IbnCabdHakam.FutuhMisr,61,0911Suyuti.HusnMuhadara.65,True
31,31,0257IbnCabdHakam.FutuhMisr,62,self,False
456,0,0257IbnCabdHakam.FutuhMisr,62,0783IbnHadida.MisbahMudi.200,False
457,1,0257IbnCabdHakam.FutuhMisr,62,0911Suyuti.HusnMuhadara.65,False
458,2,0257IbnCabdHakam.FutuhMisr,62,0783IbnHadida.MisbahMudi.201,True
459,3,0257IbnCabdHakam.FutuhMisr,62,0911Suyuti.HusnMuhadara.66,True
32,32,0257IbnCabdHakam.FutuhMisr,63,self,False
1267,3,0257IbnCabdHakam.FutuhMisr,63,0783IbnHadida.MisbahMudi.201,False
1268,4,0257IbnCabdHakam.FutuhMisr,63,0911Suyuti.HusnMuhadara.65,False
1269,5,0257IbnCabdHakam.FutuhMisr,63,0911Suyuti.HusnMuhadara.66,False
1274,10,0257IbnCabdHakam.FutuhMisr,63,0783IbnHadida.MisbahMudi.202,True
1275,11,0257IbnCabdHakam.FutuhMisr,63,0911Suyuti.HusnMuhadara.66,True
1276,12,0257IbnCabdHakam.FutuhMisr,63,0911Suyuti.HusnMuhadara.67,True
1264,0,0230IbnSacd.TabaqatKubra,63,0597IbnJawzi.Muntazam.740,False
