begin	begin2	end	end2	gid	gid2	id	id2	matches	s1	s2	seq	seq2	uid	uid2	ch_match	align_len	matches_percentage	w_match	series_b1	series_b2
1158	1	1347	223	-6636270028460100563	3502446369339975454	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms0964	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown.ms1991	154	علي الخيل التي اخرجها عبيد الله بن زياد الي قتل الحسين وامر عليهم عمرو بن سعد ووعده ان يوليه الري ان ظفر بالحسين وقتله وقال ابن عباس رضي- -الله -ع--------نهم-ا --را-ي-ت -ال-نبي صلي --ا-لله -ع-ليه و-----سل-م فيما-- يري- -ال-	علي الخيل التي اخرجها عبيد الله بن زياد الي قتل الحسين وامر عليهم عمر ابن سعد ووعده ان يوليه الري ان ظفر بالحسين وقتله وكان -في تلك الخيل والله اعلم قوم من مضر من اليمن قال ابو عمر لما مات معاوية وافضت الخلافة الي يزيد وذلك	964	1991	5535510924990095602	-5761129613084120338	119	223	69.05829620361328	23	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown
199	106	1300	1458	-6636270028460100563	3502446369339975454	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms0964	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown.ms1990	779	علم -لا---ي -شء هو فيه ا---سم ا----ل---ظاهر بن---- الحاكم --واسم امه رصد -خبر-- ا---لحسين هو الحسين بن ع----ل--ي- بن -ابي طال---ب وا-سمه عبد مناف بن عبد المطلب بن هاشم بن عبد مناف بن قصي ا-بو ---عبد -ال--ل---ه --وامه --فا---ط-مة الزهرا--ء بنت رسول الله صلي الله عليه وسلم------------------ ولد لخمس خلون من شعبان سنة اربع وقيل سنة ثلاث وعق عنه رسو---ل --ا----لله صلي ال---له عليه وسلم- يوم س--ابعه بكبش -وحلق -راس-ه وامر ان ي-تصدق ب-----زنته فضة وقال --ارون--ي- ا--بن------ي- -ما -سميتموه فقال --علي -بن ا--بي- ---طال--ب حربا ----فقا-ل بل هو حسين وكان اش---به النا--س --بالن----بي -----صلي الله عليه وسلم -ما --كان اسفل من صدره وكان فاضلا دينا كثير الصوم والصلاة والحج وقت---------ل- يوم الجمعة لعشر خلون من المحرم يوم عاشوراء سنة احدي وستين من الهجرة بموضع يقال له كربلاء من ارض العراق -بناحية الكوفة ويعرف الموضع ايضا بالطف قتله سنان بن انس اليحصبي و-ق-------ي----------------------------------------ل---- --ق------------تله رجل من مذحج وقيل قتله شمر بن ذي الجوشن وكان ابرص واجهز عليه خولي بن يزيد الاصبحي من حمير حز راسه واتي--- عبيد الله بن زياد وقال اوقر ركابي فضة وذهبا اني قتلت الملك المحجبا قتلت خير الناس اما وابا وخيرهم اذ ينسبون نسبا وقيل قتله عمرو بن سعد بن ابي وقاص وكان ا------ل-ا--مير علي -الخيل ا---لتي --اخرجها عبيد -----ا-لله-- بن زياد -الي قتل الحسين وامر -علي--هم عمرو بن سعد ------ووعده ان يوليه الري ان-- ظفر ---بالحسين وقتله وقال ابن -ع--با-س رضي ال--له	علي الاشيري الحافظ قال اخبرنا ابو وليد يوسف بن عبد العزيز بن الدبا-ع قال اخبرنا ابو محمد عبد الرحمن بن عبد العزيز بن ثابت قال اخبرنا ابو عمر يوسف بن عبد ال--له بن محمد بن عبد الله بن عبد البر النمري قال الحسين بن علي بن ابي طالب امه فاطمة بنت رسول الله صلي الله عليه وسلم يكني ابا عبد الله ولد لخمس خلون من شعبان سنة اربع وقيل سنة ثلاث هذا قول الواقدي وطاءفة معه قال الواقدي علقت فاطمة بالحسين بعد مولد الحسن بخمسين ليلة وروي جعفر بن محمد عن ابيه قال لم يكن بين الحسن والحسين الا طهر واحد وقال قتادة ولد الحسين بعد الحسن بسنة وعشرة اشهر لخمس سنين وستة اشهر من التاريخ وعق عنه رسول الله صلي الله عليه وسلم كما عق عن اخيه -وكان الحسين فاضلا دينا كثير الصوم والصلاة والحج -قتل رحمه الله يوم الجمعة لعشر خل-ت من المحرم يوم عاشوراء سنة احدي و وستين --------بموضع يقال له كربلاء من ارض العراق وبناحية الكوفة ويعرف الموضع ايضا بالطف قتله سنان بن انس ال-نخعي ويقال له ايضا سنان بن ابي سنان النخعي وهو جد شريك القاضي ويقال بل الذي قتله رجل من مذحج وقيل قتله شمر بن ذي الجوشن وكان ابرص واجهز عليه خولي بن يزيد الاصبحي من حمير حز راسه واتي به عبيد الله بن زياد وقال اوقر ركابي فضة وذهبا اني قتلت الملك المحجبا قتلت خير الناس اما وابا وخيرهم اذ ينسبون نسبا وقال يحيي بن معين اهل الكوفة يقولون ان الذي قتل الحسين عمر بن سعد ابن ابي وقاص قال يحيي وكان ابراهيم بن -سعد يروي فيه --حديثا انه لم يقتله عمر- بن سعد قال ابو عمر بن --عبد البر انما نسب قتل الحسين --الي -عمر -بن سعد لانه كان الامير	964	1990	5535510924990095602	8220865732304448422	570	1377	56.57225799560547	104	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown
518	3	1269	1008	-6636270028460100563	3502446369339975454	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms1469	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown.ms1971	278	وا له الارض وسلموا عليه بامرة المءمنين ونادي في الناس بالامان وصلي بالناس الجمعة فامتغص الحاكم لذلك واخذ في استمالة حسان ومفرج وغير هما وبذل لهم الاموال فتنكروا علي ابي الفتوح وقلد ايضا مكة بعض بني عم ابي الفتوح فضعف امره واحسن من حسان بالغدر فرجع الي مكة وكاتب الحاكم واعتذر اليه فقبل عذره واما ابن المغربي فانه لما انحل امر ابي الفتوح وراي ميل بني الجراح الي الحاكم كتب اليه ------------------------------------------------------------------------------------------------------------------------------------------------------------وانت وحسبي انت تعلم ان لي لسانا امام المجد يبني ويهدم وليس حليما من تباس يمينه فيرضي ولكن من تعض فيحلم فسير اليه امانا بخطه ---وت--وجه ا-بن ال--م---غربي- قبل وصول امان ال-----حاكم اليه ال---ي بغدا-د وبلغ ا-ل-قا-در بال---له خبره فاتهم------ه با-نه -----قدم -في- -فساد الدولة العباسية --فخر-ج الي واسط واستعطف ا-لقادر---- فعطف عل---يه و------عاد ال----ي بغدا-----د --ثم- م--ضي- ال--ي -قروا--ش ---بن -الم---قلد امي-ر ال-عرب وسار معه ال----ي الموصل فا---قام بها --م-دة --وخا-فه -و--	والي ابيه المفرج وبذل لهما بذولا كثيرة حتي فلهما عن ذلك الجمع وجعلهما في حيرة وضعف امر ابي الفتوح وبان له تغير ال الجراح فخاف ان تخرج مكة من يده فاستجار بالمفرج وطلب منه ان يبلغه مامنه ويسيره الي وطنه فحفظ المفرج ذمامه وسيره مع من اجازه وادي القري وتلقاه بنو حسن ومضوا به الي مكة وكتب الي الحاكم واعتذر اليه فقبل عذره قرات بخط عبد القوي بن القاضي الجليس عبد العزيز بن بن الحباب في جزء جمع فيه شيءا من احوال ابي القاسم بن المغربي قال فيه واجاز لنا عبد القوي الرواية عنه فاما ابو القاسم بن المغربي فانه كتب الي الحاكم كتابا صدره بقوله وانت وحسبي انت تعلم ان لي لسانا امام المجد يبني ويهدم وليس حليما من تباس يمينه فيرضي ولكن من تعض فيحلم فسير اليه امانا بخطه نسخهته بسم الله الرحمن الرحيم هذا كتاب كتبه المنصور ابو علي- الامام الحاكم بامر الله امير -المءمنين بن الامام العزيز بالله امير المءمنين لحسين بن علي -بن حسين المغربي انك -امن با--مان الله ورسوله محمد المصطفي وابينا علي المرتضي والاءمة من الهما مصابيح الدجي صلي الله عليهم وسلم وامان ابينا الاقرب نزار ابي المنصور العزيز بالله امير المءمنين قدس الله روحه	1469	1971	-7088676402616566306	-5680031236652994234	193	1011	27.497528076171875	26	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown
120	56	969	1055	-6636270028460100563	3502446369339975454	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms0965	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown.ms1991	581	-ا-- كل-هم -م----ن ولد فاطمة وقد قتل-- -معه من اهل ب----ي----ت-ه و-ا---خوت-ه ثلاثة وعشرون رجلا -و-كان سبب --قتل------ه انه ----لما مات معاوية بن ابي سفيا-ن رضي الله -عنه في سنة ستين وردت بيعة اليزيد علي الوليد بن عقبة بالمدينة لياخذ البيعة علي اهلها فارسل الي الحسين -بن علي والي عبد الله بن الزبير ليلا فاتي بهما فقال بايعا فقالا مثلنا لا يبايع سرا ولك-نا نبايع علي رءوس الناس اذا اصبحنا فرجعا الي بيوتهما وخرجا من ليل-هما-- الي مكة وذلك ليلة الاحد لليلتين بقيتا من رجب فاقام الحسين بمكة شعبان ورمضان وشوالا وذو القعدة وخرج يوم التروية يريد الكوفة ---وبكتب --ا-ه---ل ا--لع-ر--اق فلما بلغ عبي--د ال--له بن زياد مسير الحسين ----م---ن -مكة بعث -الحصين بن -تم--يم التم-يمي- --صاحب -شر-طته فنزل -ال-------قا-دسي-ة ونظم الخيل ما بينه--ا- و-----بين-- -جبل --ل--علع فبلغ ال---حسين -الحاجز --له --عن ----ا---لبلاد- فكتب ا-----لي اهل- الكوفة يعرفهم بقدومه مع قيس بن مسهر فظفر -به ا-لحصين وبع--ث به الي ---------ا-بن -زي-اد فقتل-ه و--اقبل -الحسين يسير -نحو ا-لكوف-ة --فاتاه خبر قتل مسل-م --بن عقيل وخبر قتل ا---خيه --من ا-ل-	وامر عليهم عمر ابن سعد ووعده -ان يوليه الري ان ظفر بالحسين وقتله وكان في تلك الخيل و-الله اعلم قوم من مضر من اليمن قال ابو عمر لما مات معاوية وافضت الخلافة الي يزيد وذلك في سنة ستين وردت بيع------ته علي الوليد بن عقبة بالمدينة لياخذ البيعة علي اهلها -ارسل الي الحسين ابن علي والي عبد الله بن الزبير ليلا فاتي بهما فقال بايعا فقالا مثلنا لا يبايع سرا ولكننا نبايع علي رءوس الناس اذا اصبحنا فرجعا الي بيوتهما وخرجا من ليلتهما ظ الي مكة وذلك ليلة الاحد لليلتين بقيتا من رجب فاقام الحسين بمكة شعبان ورمضان وشوال- وذو القعدة وخرج يوم الترويه يريد الكوفة فكان سبب هلاكه قال ابو عمر قال مصعب الزبيري حج الحسين بن علي خمس-ا وعشرين حجة ماشيا وذكر اسد عن حاتم بن اسماعيل عن معاوية بن ابي مزرد عن ابيه قال سمعت ابا هريرة يقول ابصرت عيناي هاتان وسمعت اذناي رسول الله صلي الله عليه وسلم وهو اخذ بكفي حسين وقدماه علي قدم رسول الله صلي الله عليه وسلم وهو يق-ول ترق عين بقه قال فرقا الغلام حتي- وضع قدميه علي صدر رسول الله صلي الله عليه وسلم ثم قال -له رسول الله افتح فاك ثم قبله -ثم قال اللهم احبه فاني احبه قال ابو عمر رحمه الله	965	1991	528655845636468656	-5761129613084120338	426	1014	57.297828674316406	66	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown
294	274	1182	1437	-6636270028460100563	3502446369339975454	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms0113	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown.ms0210	315	الي كل ماء ان يرجع الي عنصره وعن يزيد بن ابي حبيب ان معاوية بن ابي سفيان رضي الله عنه سال كعب الاحبار هل تجد لهذا النيل في كتاب الله خبرا قال اي والذي فلق البحر لموسي اني لاجده في كتاب الله ان الله يوحي اليه في كل عام مرتين يوحي اليه عند جريته ان الله يامرك ان تجري فيجري ما كتب الله له ثم يوحي اليه بعد ذلك يا نيل عد حميدا وعن كعب الاحبار انه قال اربعة انهار من الجنة وضعها الله في الدنيا النيل -------------------------------------------------------------------------------------------------------------------------------------نهر العسل في الجنة والفرات نهر الخمر في الجنة وسيحان نهر الماء في الجنة وجيحان نهر اللبن في الجنة -----وقا-ل المس---عود--ي -نهر ال-ن-ي----ل من ساد-ا--ت الانهار وا-شراف البحار لانه يرج من ا-لجنة علي ما-- ور--د به خبر الشريعة وقد قال ا---ن- ----ال--ن-يل- -اذا -زاد --غاضت له -ال-ا---ن----ها-ر --و-ال-------اعين --و--ال--ا--بار ---واذا-- غاض زادت فزيادته من --غيضها- وغيضه -من ---زيادتها ول--يس في ا-نها-ر ال-دني--ا- ---ن-هر ي-سمي -بحرا ---غير نيل -مصر لكبر-ه واستبحاره وقال -ابن- قتيبة في --كتا-ب غريب- --ال-حديث --وفي --حدي-ثه ع---ليه السلام ن-----هرا-ن مءمنا----ن -ونهران ---كا-فر----ان ا--ما ال---مءمنان فالنيل والفرات واما الكافران ف-	الجبل الرابع انبانا عيسي بن عبد العزيز بن عيسي بن عبد الواحد قال اخبرنا الحافظ ابو طاهر الاصبهاني قال اخبرنا ابو صادق مرشد بن يحيي بن القاسم المديني قال اخبرنا ابو الحسن علي بن منير بن احمد الحلال في كتابه قال اخبرنا ابو بكر محمد ابن احمد بن الفرج القماح قال اخبرنا ابو القاسم علي بن الحسن بن خلف بن قديد الازدي قال حدثنا ابو القاسم عبد الرحمن بن عبد الله بن عبد الحكم قال حدثنا عبد الله بن صالح قال حدثنا الليث عن يزيد بن ابي حبيب عن ابي الخير عن كعب الاحبار انه كان يقول اربعة انهار من الجنة وصفها الله عز وجل في الدنيا فالنيل نهر العسل في الجنة والفرات نهر الخمر في الجنة وسيحان نهر الماء في الجنة وجيحان نهر اللبن في الجنة اخبرنا ابو الحسن محمد بن احمد الفنكي وفرج بن عبد الله الحبشي اجازة من كل واحد منهما قالا اخبرنا ابو طاهر بركات بن ابراهيم الخشوعي قال اخبرنا ابو الحسن علي بن المشرف بن المسلم قال اخبرنا القاضي ابو الحسن محمد بن حمود الصواف قال حدثنا ابو بكر محمد بن احمد بن محمد قال حدثنا ابو حفص عمر بن المفضل بن المهاجر الربعي قال حدثنا ابي قال حدثنا الوليد قال حدثنا ابراهيم بن محمد -قال حدثنا زهير قال حدثنا داود بن هلال ظ عن الصلت بن دينار عن ابي صالح عن نوف البكالي قال الصخرة تخرج من تحتها اربعة انهار من الجنة سيحان وجيحان والفرات وا-لنيل وقرات في	113	210	-7257335345159958115	2547357920641880671	223	1165	27.038625717163086	20	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown
114	622	561	1253	-6636270028460100563	3502446369339975454	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms0094	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown.ms0181	241	-- -كر--يم الش--ع--راء -كذلك --واورثن-ا-----ها- -قوما ا---خري-ن -ال--د------خان --وقو----له -تعالي واورثنا القوم الذين كانوا يستضعفون مشارق الارض ومغاربها -التي باركنا فيها ا-لاعراف يعني ا-ر--ض مصر ا-ور-ثنا-ها-- -ب--ني اسراءيل --لانهم هم ال--مستضعفون ----ال--ذي---------ن -كانوا- -فيها -ب-دليل قوله -تعالي -ونريد -ان --نمن- علي ---ا--لذين ا-ستضعفوا --في -ال-------ا-----ر----ض ونجعلهم اءمة ونجع------لهم -الوارثين -------ون-مكن --لهم في ا---لارض ال--قصص قال جامعه -ومءلفه رحمه الله تعالي اخبرني- ---داود بن -رزق بن ع-بد ا--لله وك-ا----------نت -ل-ه س-يا-حا-ت كثيرة بار-----ض -م-صر انه ع-----------بر -ال---ي وا-د -----بالقرب من ال---	بن ابراهيم الشافعي قال حدثنا اسحاق بن الحسن قال حدثنا ابو حذيفة قال حدثنا سفيان في قول الله عز وجل واورثنا القوم الذين كانوا يستضعفون مشارق الارض ومغاربها قال الشا-م اخبرنا ابو منصور عبد الرحمن قال اخبرنا الحافظ ابو القاسم قال انبانا ابو الفرج غيث بن علي الصوري ونقلته من خطه قال حدثنا ابو بكر احمد بن علي الحافظ قال اخبرنا علي بن ابراهيم البزاز بالبصرة قال حدثنا ابو بكر يزيد و بن اسماعيل بن عمر الخلال قال حدثنا العباس بن عبد الله ابن ابي عيسي الترفقي قال حدثنا محمد بن كثير المصيصي عن اسماعيل بن خالد عن محمد بن عمرو او عمر شك ابو محمد يعني العباس قال ابن كثير- واراني قد سمعته منه عن وهب بن منبه قال اني لاجد ترداد الشام في الكتب	94	181	-7342330186244278997	3282579307357131984	172	633	38.072669982910156	11	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown
324	1	1108	1003	-6636270028460100563	3502446369339975454	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms1467	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown.ms1959	490	فيه الجمعة -وعرفت بالوزي--ر ا-بي ا-لفرج -محمد بن -جعفر بن محمد بن علي بن -الحسين ب---ن علي ب-ن م-------حم------د ال-مغربي وبنو ال-مغرب--ي ا-صلهم -----من البصرة وصاروا ال-ي بغدا--د وكان ا-ب---و ال---------حسن ---علي -----بن -محمد --تخلف ---علي--- -دي---وان المغرب ببغداد فنسب به الي المغرب- وولد --ابنه ال-حسين ب--ن علي ببغدا--------د فتقلد اعمالا كثيرة منها تدبير محمد بن ياقوت عند استيلاءه علي امر الدولة ببغداد وكان خال ولده علي وهو ابو علي هارون بن عبد العزيز الاوراجي الذي مدحه ابو الطيب المتنبي م----ن اصحاب ابي بكر محمد بن راءق فلما لحق --ا-----بن راءق ما لحقه بالموصل صار --الحسين -بن علي ---بن -المغربي ال---ي- الشام و-لقي الاخشيد واقام- عنده --وصار ابنه ابو -الح--سن علي بن ---------الحسي----ن ب-----بغداد فانفذ الاخشيد غلامه ---------فاتك المجنون ----------------فحمله- ومن يليه-- ----ال---ي -مصر -ثم- ----خر-ج ا--بن ال--مغر--بي من ---م---صر --ا---لي -----حلب -و---ل----حق به ساءر -ا--هل-ه --------ونزلوا ---عند سيف الدولة ابي الحسن --علي بن عبد -الله بن حمدان مدة -حي-ا-ته -وت------خصص به --الح--سي-ن-- بن --علي -بن -م	في- ال-ثقة بي استحكاما يقصر ايدي اللءام عن صياغة مثلها لي فان كان يظن ان ما وسمت به من النسب المستعار يحملني علي الازورار فان- الامر بضده اذ كان اصلي من البصرة وانتقل سلفي عنها في فتنة البريدي الي بغداد وكان جد ابي وهو ابو الحسن علي بن محمد يخلف علي ديوان المغرب -------فنسب به الي المغربي وولد له جدي الادني ببغداد في سوق العطش ونشا وتقلد اعمالا كثيرة منها تدبير محمد بن ياقوت عند استيلاءه علي امر المملكة وكان خال ابي -----------وهو ابو علي هارون بن عبد العزيز الاوارجي ال--معروف الذي مدحه المتنبي متحققا بصحبة ابي بكر محمد بن راءق فلما لحق ابا بكر بن راءق ما لحقه بالموصل سار جدي وخال ابي الي الشام والتقيا بالاخشيذ واقام والدي --وعمي- رحمهما الله بمدينة السلام وهما حدثان الي ان توطدت اقدام شيوخهما بتلك البلاد وانفذ الاخشيذ غلامه المعروف بفاتك المجنون الممدوح المشهور فحملها ومن يليهما اني الرحبة وسار بهما علي طريق الشام الي مصر فاقامت الجماعة ظ هناك الي ان تجددت قوة المستولي علي مصر فانتقلوا بكليتهم وحصلوا في حيز سيف الدولة ابي الحسن بن حمدان مدة حياته -واستولي جدي علي امره استيلاء يشهد به مداءح ابي نصر بن نباته فيه ثم	1467	1959	-5443639007866864455	-2858086657144081801	357	1029	47.619049072265625	45	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown
736	454	1419	1572	-6636270028460100563	3502446369339975454	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms1469	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown.ms1972	260	مره واحسن من حسان بالغدر فرجع الي مكة وكاتب الحاكم واعتذر اليه فقبل عذره واما ابن المغربي فانه لما انحل امر ابي الفتوح وراي ميل بني الجراح الي الحاكم كتب اليه وانت وحسبي انت تعلم ان لي لسانا امام المجد يبني ويهدم وليس حليما من تباس يمينه فيرضي ولكن من تعض فيحلم فسير اليه امانا بخطه وتوجه ابن المغربي قبل وصول امان الحاكم اليه الي بغداد -----------------------------------------------------------------------------------------------------------------------------------------------------------وبلغ القادر بالله خبره فاتهمه بانه قدم في فساد الدولة العباسية فخر-ج -الي واسط ---وا-ستعطف- -ا----لقا-در -فعطف علي----ه و----عاد ا--لي ب-------غدا-------د ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------ثم مضي الي قرواش -بن المقلد امير العرب وسار معه الي الموصل فاقام بها مد------ة وخافه -وزير قروا-ش ---فا-خرجه ال---ي ---ديار -بك----ر فاق--ام عند--- -امير----ها نصير ال---دولة ابي-- -----نصر -ا--حمد -----بن-- مرو-ان الكردي-- ----و-تصر-ف له -وكان-- يل--بس -في هذه المدة المرقعة وال-صوف فلما- تصرف غير -ل-	مضر وحلب ومصر والحجاز والمغرب في حل وسعة من بيعته وقد فسح الله لهم وفسح امير المءمنين في النكث لها وبرا نفسه مما اوجبه عليهم والتزموه في اعناقهم وقد برء من الله ورسوله والله ورسوله منه بريءان وبرء اليه من حوله وقوته والتجي الي حول نفسه وقوتها واشهد الله وملاءكته وصالحي خلقه علي نفسه بذلك كله امانا مءكدا وذماما مءبدا وعهدا مسءولا وميثاقا محفوظا مرعيا وكفي بالله شهيدا ظ وكتب المنصور بيده وتوجه ابن المغربي قبل وصول هذا الامان اليه الي العراق وقصد فخر الملك ابا غالب وزير مشرف الدولة ابي علي وبلغ القادر بالله خبره فاتهمه بالورود- -لافساد الدولة العباسية وتردد بينه وبين فخر الملك في بابه ما اوجب خروجه الي واسط وكتب فخر الملك بحراسته هناك ومعرفة حقه واقام مدة علي هذه الجملة من امره حتي اذا توفي فخر الملك شاع في اصلاح القادر بالله واستعطاف رايه وابراء ساحته عنده مما كان ظن به وقدر فيه وعاد الي بغداد واقام اياما بها ثم مضي الي قرواش ابن المقلد امير العرب وسار معه الي الموصل فاقام بها مدة يسيرة وخافه المعروف بابن ابي الوزير الكافي وكان اذ ذاك وزيرا لقرواش ومدبرا لامور دولته فحمل اليه مالا كثيرا وتقدم له بالرحيل فسار عنها متوجها الي ديار بكر واميرها اذ ذاك نصر الدولة ابو نصر احمد بن مروان -الكردي فاقام عنده مدة علي	1469	1972	-7088676402616566306	-130770947319394126	181	1121	23.19357681274414	20	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown
1037	38	1554	729	-6636270028460100563	3502446369339975454	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms0897	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown.ms1254	276	ان النار حق وان الموت حق وا--ن- ----البعث حق وان الساعة اتية لا ريب فيها وان الله يبعث من في القبور وتقيم ا--لصلاة لوقتها- و-تءتي الزكاة -لحقها وتصوم ر-مضان و-تحج ا-----لبيت الحرام وتجاهد في سبيل الله -حق -----جها--د--ه علي ما امر الله --به و--رسو-----له ---وتو-ال---ي اوليا-ء ال--ل--ه --وتعا--دي --اعداء -الله --وتقو---م -ب-----فرا---ءض الله --و---سن--نه ---وسنن --رسول الله صلي الله عليه و---سلم و-علي ال---ه الطاهرين---- --ظا-هرا------- وباطنا --و---علا-نية -س--را --وجهرا -فا-ن ذلك -يءكد- --هذا ال----عهد ولا يهدمه وي--ثب-ته و--لا --يزيل-ه --وي-قر به -ولا يباعده و-يشده و---لا -يضعفه وي-وج---ب -ذل--ك و-ل-------ا ---ي-بطله وي-وض------حه ----ولا --يعميه --كذل-ك هو الظاهر والباطن و-ساءر -م-ا جا	ان الموت حق وا--لحساب حق والجنة حق والنار حق وان الساعة اتية لا ريب فيها وان الله يبعث من في القبور وان صلاته ونسكه ومحياه ومماته لله رب العالمين لا شريك له وبذلك امر وهو من المسلمين وانه قد رضي بالله ربا وبالاسلام دينا وبمحمد صلي الله عليه وسلم وعلي اله نبيا وبالقران اماما وبالمسلمين اخوانا علي ذلك حيي وعليه يموت وعليه يبعث حيا ان شاء الله واوصي من خلف بعده ان يعبدوا الله -في ا-لعابدين وان يحمدوه في الحامدين وان ينصحوا لجماعة المسلمين وان لا يموتن الا وهم مسلمون واوصي انه اذا حدث به حدث الموت الذي جعله الله عدلا بين عباده وحتما علي خلقه ان يبدا من تركته بكفنه وحنوطه وما لا بد منه في تجهيزه بالسنة والمعروف ثم يقضي دينه ويترضي غرماءه ثم يخرج من جميع ما خلفه من ال-عين وال-دين والكتب جميع ما	897	1254	719506976928059385	-4399037627281482474	192	697	39.5982780456543	20	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown
13	507	627	1384	-6636270028460100563	3502446369339975454	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown.ms0707	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown.ms1200	354	ال---ح- بن- -علي -----بن -----عبد الله- -بن- --عباس -ع-ل--ي -الصلاة -ل-سب--ع-- خلون من -رمضان فاستخلف عون بن وهب ال-خزاعي ثم -قدم-- لخمس بقين من--ه- ---------قا--------------ل ابن عفير ما رايت----- علي هذه الاعواد اخطب من اسماعيل بن صالح---- --------ثم -------صرف------- في جمادي الاخرة سنة اثنتين وثمانين وماءة --فولي اسماعيل بن -عيسي بن موسي --بن محمد بن-- -عل-ي ب-ن- عبد -ال--له ب---ن --عباس من- ---قب-ل ال-ر---شيد علي الصلاة ---فقدم --ل-ا--ر----ب--ع-- عشرة ب---قيت -من جمادي --ا-لاخر--ة --وصرف في رمضان فولي الليث ب-ن الفضل ---ال-بي------وردي من ا-هل بيو-رد -علي --------ا--ل----ص-ل--ا-ة ---وا-لخرا---ج وقدم--- -----ل--خمس خل-ون من شوال -ثم -خ-ر-ج ال-------ي الرشيد -ل-سبع -بقين من -رمضا--ن سنة ثلاث وثمانين --وماءة ب--ال-مال ---وا-لهدايا -واستخلف اخاه الفضل- بن -علي ثم عاد ---ف-------ي -------ا-خر -ال--سن---ة -و--خرج ثان--يا-- ب--الما--ل --ل-تسع بقين م--ن --رمضان سنة خمس --وثمان	المسبحي سنة احدي وثمانين وماءة ثم وليها يعني مصر اسماعيل بن صالح بن علي بن عبد الله بن العباس من قبل- الرشيد علي صلاتها ي-وم الخميس لسبع خلون من شهر رمضان سنة احدي وثمانين قال ابن عفير ما رايت احدا علي هذه الاعواد اخطب من اسماعيل بن صالح ابن علي فوليها الي ان صرف و عنها في جمادي الاخرة سنة اثنتين وثمانين وماءة انبانا ابو حفص بن طبرزد عن -ابي غالب بن البناء قال اخبرنا ابو غالب بن بشران قال اخبرنا ابو بكر المراعيشي وابو العلاء الواسطي قال اخبرنا ابو عبد الله بن عرفة قال وكانت وفاة الرشيد بطوس ودفن -هناك وكان علي حجبته الفضل بن الربيع ثم ذكر ولاة البلاد وقال وعلي منبج اسماعيل بن صالح ابن علي انبانا زين الامناء ابو البركات الحسن بن محمد قال اخبرنا الحافظ ابو القاسم علي بن الحسن بن هبة الله عمي -قال اسماعيل بن صالح بن علي بن عبد الله ابن عباس -بن -عبد المطلب بن هاشم بن عبد مناف الهاشمي حدث عن ابيه صالح بن علي روي عنه ابنه طاهر بن اسماعيل والوليد ب--ن مسلم وسليمان بن سعيد وهو ممن	707	1200	8932657378655552249	-8401938886103749539	241	886	39.95485305786133	20	0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown	0660IbnCadim.BughyatTalab.Shamela0010798-ara1.mARkdown
