,uri,start,end,ms,text_uri
0,Anonymous,1351,1360,125,0845Maqrizi.Rasail
1,AnonymousPlural,1351,1362,125,0845Maqrizi.Rasail
0,Anonymous,1094,1103,144,0845Maqrizi.Rasail
1,AnonymousPlural,1094,1105,144,0845Maqrizi.Rasail
0,Anonymous,826,835,145,0845Maqrizi.Rasail
1,Anonymous,1417,1426,145,0845Maqrizi.Rasail
2,AnonymousPlural,826,837,145,0845Maqrizi.Rasail
3,AnonymousPlural,1417,1428,145,0845Maqrizi.Rasail
0,Anonymous,1019,1028,177,0845Maqrizi.Rasail
1,Anonymous,1092,1101,177,0845Maqrizi.Rasail
0,Anonymous,1260,1269,238,0850Acqam.Tafsir
1,AnonymousPlural,1260,1271,238,0850Acqam.Tafsir
0,Anonymous,601,610,305,0850Acqam.Tafsir
1,AnonymousPlural,601,612,305,0850Acqam.Tafsir
0,0350MuhammadKindi.WulatMisr,920,932,69,0850ShihabDinIbshihi.Mustatraf
1,0255Jahiz.Hayawan,539,550,69,0850ShihabDinIbshihi.Mustatraf
0,0350MuhammadKindi.WulatMisr,806,817,122,0850ShihabDinIbshihi.Mustatraf
1,0255Jahiz.Hayawan,1206,1217,122,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,338,347,127,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1382,1391,127,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,1169,1178,128,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1231,1240,128,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,1299,1308,128,0850ShihabDinIbshihi.Mustatraf
0,0588IbnMamun.AkhbarMisr,999,1012,154,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1335,1344,154,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,6,15,155,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,78,87,155,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,19,28,167,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,119,128,167,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,224,233,167,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,335,344,167,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,451,460,167,0850ShihabDinIbshihi.Mustatraf
0,0588IbnMamun.AkhbarMisr,599,612,216,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1418,1427,216,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,806,815,217,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1435,1444,217,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,980,989,218,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1081,1090,218,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,19,28,223,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,391,400,223,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,556,564,223,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,652,661,223,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,983,992,225,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1042,1051,225,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,1098,1107,225,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,618,627,282,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,627,636,282,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,76,85,313,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1000,1009,313,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,1056,1065,313,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,1180,1189,313,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,1295,1304,313,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,1465,1474,313,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,30,39,314,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,186,195,314,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,278,287,314,0850ShihabDinIbshihi.Mustatraf
3,Anonymous,395,404,314,0850ShihabDinIbshihi.Mustatraf
4,Anonymous,482,491,314,0850ShihabDinIbshihi.Mustatraf
5,Anonymous,584,593,314,0850ShihabDinIbshihi.Mustatraf
6,Anonymous,688,697,314,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,10,19,350,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,671,680,350,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,731,740,350,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,1129,1138,353,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,1381,1390,353,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,84,93,354,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,505,514,354,0850ShihabDinIbshihi.Mustatraf
0,Anonymous,700,709,356,0850ShihabDinIbshihi.Mustatraf
1,Anonymous,807,816,356,0850ShihabDinIbshihi.Mustatraf
2,Anonymous,911,920,356,0850ShihabDinIbshihi.Mustatraf
